expiration,T,F,n_obs
2025-08-11,0.005479452054794521,638.27,220
2025-08-12,0.00821917808219178,638.3325,220
2025-08-13,0.010958904109589041,638.4,220
2025-08-14,0.0136986301369863,638.475,220
2025-08-15,0.01643835616438356,638.5925,596
2025-08-18,0.024657534246575342,638.75,220
2025-08-19,0.0273972602739726,638.8175,220
2025-08-20,0.030136986301369864,638.8875,220
