expiration,T,F,n_obs,method,a,b,rho,m,s,ok,n,loss
2025-08-11,0.00821917808219178,638.345,84,svi,1e-09,0.014281973972743832,-6.488965982534067e-05,-0.0001470680858653415,0.037126757223615525,True,84,1.370769365449654e-07
2025-08-12,0.010958904109589041,638.41,113,svi,1e-09,0.01387187069234928,-1.189844054644911e-05,-0.00539072526978855,0.038156841934253956,True,113,1.2517957404575617e-07
2025-08-13,0.0136986301369863,638.485,120,svi,1e-09,0.014643529481358632,-1.0130394645345645e-06,-0.007115126151909312,0.03959786789981201,True,120,1.3607053671646407e-07
2025-08-14,0.01643835616438356,638.565,127,svi,1e-09,0.015199825395780379,2.053435224896268e-05,-0.007353980637615112,0.042225051453336965,True,127,1.587635904377988e-07
2025-08-15,0.019178082191780823,638.795,203,svi,1e-09,0.024188256420262493,-0.00014044258264448283,-0.031198436810926627,0.07897445669017311,True,203,1.9494365591428988e-06
2025-08-18,0.0273972602739726,638.885,143,svi,1e-09,0.018133773444669012,3.9303131231041184e-05,-0.010981475473271564,0.05104458705493283,True,143,2.7268219254140534e-07
2025-08-19,0.030136986301369864,638.96,148,svi,1e-09,0.01919043308144456,4.789058582342907e-05,-0.012676319241454502,0.05653587831092108,True,148,3.4990067678891706e-07
2025-08-20,0.03287671232876712,639.0274999999999,153,svi,1e-09,0.01924963932201482,5.7508706326292186e-05,-0.01435634566782715,0.06267488220330138,True,153,4.7376950683621427e-07
